brewery,geometry,foundingYear,wikidata-entry
Baudenkmal D-1-84-139-20 in Pullach im Isartal im Ortsteil Pullach i.Isartal,Point(11.539518984 48.067544209),,http://www.wikidata.org/entity/Q98644918
Brauerei Marktplatz 4 in Pfeffenhausen (D-2-74-172-20#1),Point(11.964666104 48.665180806),,http://www.wikidata.org/entity/Q98699486
Brauereikeller In Katzenrohrbach in Walderbach (D-3-72-170-23#1),Point(12.398020541 49.178634357),,http://www.wikidata.org/entity/Q98683810
Baudenkmal D-1-62-000-4977 in München im Ortsteil München,Point(11.581368965 48.123417792),,http://www.wikidata.org/entity/Q98644348
Brauerei Marktplatz 5; Nähe Am Hofgarten in Winklarn (Oberpfalz) (D-3-76-178-11#1),Point(12.480756813 49.426582444),,http://www.wikidata.org/entity/Q98684286
Brauerei Bachgasse 15 in Weißenburg in Bayern (D-5-77-177-100#1),Point(10.975435043 49.029406673),,http://www.wikidata.org/entity/Q98634898
Brauerei Nähe Herzogenauracher Straße in Fürth (D-5-63-000-1653#4),Point(10.966227733 49.527280266),,http://www.wikidata.org/entity/Q98634558
Baudenkmal D-3-62-000-893 in Regensburg im Ortsteil Regensburg,Point(12.10558774 49.018492238),,http://www.wikidata.org/entity/Q98671571
Sudhaus Dambacher Straße 49 in Fürth (D-5-63-000-1274#1),Point(10.985670184 49.466959487),,http://www.wikidata.org/entity/Q98625079
Brauhaus Unterwildenau 17 a in Luhe-Wildenau (D-3-74-133-26#5),Point(12.13555768 49.600340939),,http://www.wikidata.org/entity/Q98680305
Klosterbrauerei Klosterhof 3; Klosterhof 4 in Auerbach in der Oberpfalz (D-3-71-113-90#5),Point(11.586153005 49.703913221),,http://www.wikidata.org/entity/Q98676405
Brauhaus Schloßstraße 1 a in Langquaid (D-2-73-141-19#1),Point(12.014743894 48.784982015),,http://www.wikidata.org/entity/Q98699009
Brauerei Marktplatz 5 in Ortenburg (D-2-75-138-24#1),Point(13.223493091 48.547002299),,http://www.wikidata.org/entity/Q98700124
Brauerei Am Marktplatz 7 in Schwanstetten (D-5-76-132-27#1),Point(11.121227062 49.297005837),,http://www.wikidata.org/entity/Q98633480
Klosterbrauerei Klosterplatz 1 in Berching (D-3-73-112-152#6),Point(11.454275495 49.068191357),,http://www.wikidata.org/entity/Q98676868
Baudenkmal D-1-79-134-41 in Maisach im Ortsteil Maisach,Point(11.263081186 48.217009258),,http://www.wikidata.org/entity/Q98646365
Brauerei Bahnhofstraße 11 in Pfeffenhausen (D-2-74-172-4#1),Point(11.966360469 48.665305725),,http://www.wikidata.org/entity/Q98699628
Brauerei Schloßberg 3 in Guteneck (D-3-76-133-1#2),Point(12.27635937 49.445483568),,http://www.wikidata.org/entity/Q98679018
Sudhaus Nähe Herzogenauracher Straße in Fürth (D-5-63-000-1653#3),Point(10.966395674 49.527389812),,http://www.wikidata.org/entity/Q98634557
Brauerei Rote Straße 10 in Zirndorf (D-5-73-134-39#3),Point(10.954784397 49.442917802),,http://www.wikidata.org/entity/Q98635199
Brauerei Hauptstraße 34 in Niederviehbach (D-2-79-130-56#1),Point(12.38297192 48.615212627),,http://www.wikidata.org/entity/Q98701858
Brauerei Geslauer Straße 3 in Windelsbach (D-5-71-225-1#2),Point(10.300117385 49.397691632),,http://www.wikidata.org/entity/Q98635053
Brauerei Kappadocia 1 in Schwabach (D-5-65-000-275#1),Point(11.022602787 49.3297458),,http://www.wikidata.org/entity/Q98633337
Klosterbrauerei Kapuzinerstraße 5 in Neumarkt in der Oberpfalz (D-3-73-147-16#2),Point(11.462269674 49.279568809),,http://www.wikidata.org/entity/Q98681881
Brauerei Rote Straße 10 in Zirndorf (D-5-73-134-39#8),Point(10.955239034 49.442889912),,http://www.wikidata.org/entity/Q98635204
Schlossbrauerei Hofmark 6; Landshuter Straße 9 in Neufraunhofen (D-2-74-154-2#13),Point(12.211991452 48.392573742),,http://www.wikidata.org/entity/Q98698951
Baudenkmal D-2-63-000-161 in Straubing im Ortsteil Straubing,Point(12.561778622 48.880790312),,http://www.wikidata.org/entity/Q98696251
Brauerei Schloßplatz 3 in Maxhütte-Haidhof (D-3-76-141-17#4),Point(12.113521766 49.183176421),,http://www.wikidata.org/entity/Q98680455
Klosterbrauerei Klosterhof 9 in Speinshart (D-3-74-157-6#1),Point(11.819677867 49.786883471),,http://www.wikidata.org/entity/Q98683302
Brauhaus Christdobl 2 in Passau (D-2-62-000-648#1),Point(13.477048158 48.581167926),,http://www.wikidata.org/entity/Q98697869
Brauhaus Untere Bachgasse 8 in Regensburg (D-3-62-000-571#1),Point(12.094500916 49.019310302),,http://www.wikidata.org/entity/Q98682809
Brauerei Rote Straße 8 in Zirndorf (D-5-73-134-39#7),Point(10.955292519 49.443314662),,http://www.wikidata.org/entity/Q98635203
Brauerei Fischerstraße 19 in Kempten (Allgäu) (D-7-63-000-52#1),Point(10.31535096 47.725725198),,http://www.wikidata.org/entity/Q98722893
Schlossbrauerei Am Schloß 3 in Sünching (D-3-75-201-4#5),Point(12.352626456 48.877144059),,http://www.wikidata.org/entity/Q98683462
Brauhaus Muglhofer Straße 13 in Vohenstrauß (D-3-74-162-112#2),Point(12.265028037 49.641868929),,http://www.wikidata.org/entity/Q98683741
Brauerei Vogteiplatz 8 in Herrieden (D-5-71-166-57#4),Point(10.499847195 49.23385653),,http://www.wikidata.org/entity/Q98627925
Brauerei Schulstraße 2 in Gotteszell (D-2-76-123-7#2),Point(12.966496508 48.962665087),,http://www.wikidata.org/entity/Q98700829
Brauhaus Beilngrieser Straße 14 a in Dietfurt an der Altmühl (D-3-73-121-92#1),Point(11.561476872 49.022730542),,http://www.wikidata.org/entity/Q98678064
Brauerei Marktplatz 7 in Eckental (D-5-72-121-16#1),Point(11.198377487 49.574702465),,http://www.wikidata.org/entity/Q98623372
Brauerei,Point(10.711348601 49.378540899),,http://www.wikidata.org/entity/Q98628626
Brauhaus Marktplatz 14 (D-5-74-139-15#1),Point(11.30891817 49.449930627),,http://www.wikidata.org/entity/Q98629163
Brauereikeller Brand in Markt Berolzheim (D-5-77-149-30#1),Point(10.837017036 48.99975005),,http://www.wikidata.org/entity/Q98629281
Brauerei Färberstraße 39 in Nürnberg (D-5-64-000-445#2),Point(11.072146613 49.44810328),,http://www.wikidata.org/entity/Q98630121
Brauerei Spitalgasse 2 in Regensburg (D-3-62-000-1025#2),Point(12.095738658 49.0241018),,http://www.wikidata.org/entity/Q98682743
Brauerei Marktplatz 1 in Nennslingen (D-5-77-151-10#1),Point(11.132671795 49.047161878),,http://www.wikidata.org/entity/Q98629768
Baudenkmal D-7-62-000-386 in Kaufbeuren im Ortsteil Kaufbeuren,Point(10.617163489 47.877293926),,http://www.wikidata.org/entity/Q98717584
Brauerei Dambacher Straße 49 in Fürth (D-5-63-000-1274#2),Point(10.98527834 49.466784141),,http://www.wikidata.org/entity/Q98625082
Klosterbrauerei Freiherr-von-Aretin-Platz 1 in Aldersbach (D-2-75-114-1#4),Point(13.085255305 48.587345024),,http://www.wikidata.org/entity/Q98700025
Brauhaus Marktplatz 1 in Lichtenau (Mittelfranken) (D-5-71-175-13#1),Point(10.686821331 49.276741326),,http://www.wikidata.org/entity/Q98636045
Schlossbrauerei Nürnberger Straße 13 in Nittendorf (D-3-75-175-8#1),Point(11.985031881 49.030665158),,http://www.wikidata.org/entity/Q98682119
Brauhaus Schloss Schwarzenberg,Point(10.474945688 49.672573803),,http://www.wikidata.org/entity/Q98633502
Baudenkmal D-1-80-117-453 in Garmisch-Partenkirchen im Ortsteil Partenkirchen,Point(11.110635938 47.493242959),,http://www.wikidata.org/entity/Q98646391
Brauhaus Schloßgut 1 in Bernhardswald (D-3-75-119-7#3),Point(12.264106598 49.125227896),,http://www.wikidata.org/entity/Q98677013
Baudenkmal D-3-74-129-66 in Kirchenthumbach im Ortsteil Kirchenthumbach,Point(11.723975335 49.7458635),,http://www.wikidata.org/entity/Q98671762
Brauerei Ägidienplatz 2 in Regensburg (D-3-62-000-86#2),Point(12.090547754 49.017369946),,http://www.wikidata.org/entity/Q98682586
Brauerei Hauptstraße 2 in Polsingen (D-5-77-162-14#1),Point(10.758868326 48.935087427),,http://www.wikidata.org/entity/Q98622643
Sudhaus Wörnitzstraße 1 a in Dinkelsbühl (D-5-71-136-659#2),Point(10.321737034 49.069882725),,http://www.wikidata.org/entity/Q98622632
Spital Spitalstraße 5 (D-5-74-138-149#5),Point(11.281796416 49.510669058),,http://www.wikidata.org/entity/Q98629080
Brauereikeller Albrechtsgasse 34 in Straubing (D-2-63-000-10#1),Point(12.572150471 48.884200277),,http://www.wikidata.org/entity/Q98697878
Brauereikeller Buchleite in Markt Berolzheim (D-5-77-149-30#2),Point(10.838865623 49.000644022),,http://www.wikidata.org/entity/Q98629282
Brauerei Rote Straße 10 in Zirndorf (D-5-73-134-39#4),Point(10.954958974 49.442981602),,http://www.wikidata.org/entity/Q98635200
Brauerei Südliche Mauerstraße 11 b in Schwabach (D-5-65-000-197#1),Point(11.01639758 49.329276307),,http://www.wikidata.org/entity/Q98633399
Brauerei Herzog-Wilhelm-Straße 28 in Steindorf (Schwaben) (D-7-71-168-10#2),Point(11.022649458 48.218853166),,http://www.wikidata.org/entity/Q98723365
Schlossbrauerei Arcostraße 2 in Postau (D-2-74-174-7#4),Point(12.318407338 48.674052518),,http://www.wikidata.org/entity/Q98699735
Brauhaus Im Dorf 1 in Kohlberg (Oberpfalz) (D-3-74-131-12#2),Point(11.992686913 49.618659357),,http://www.wikidata.org/entity/Q98679964
Brauerei Herrenstraße 10 in Bad Kötzting (D-3-72-137-9#2),Point(12.855792189 49.174880768),,http://www.wikidata.org/entity/Q98676462
Baudenkmal D-1-87-134-33 in Griesstätt im Ortsteil Griesstätt,Point(12.176845609 48.006965215),,http://www.wikidata.org/entity/Q98650811
Brauhaus Schönbrunner Straße 2 in Landshut (D-2-61-000-352#3),Point(12.16289812 48.536629886),,http://www.wikidata.org/entity/Q98697949
Brauerei Herzogenauracher Straße 3 in Fürth (D-5-63-000-1653#2),Point(10.966572867 49.527226577),,http://www.wikidata.org/entity/Q98634556
Klosterbrauerei Klosterplatz 1 in Berching (D-3-73-112-152#5),Point(11.454634307 49.068508357),,http://www.wikidata.org/entity/Q98676870
Brauerei Lamer Straße 8 in Hohenwarth (Landkreis Cham) (D-3-72-135-12#1),Point(12.951255848 49.203819226),,http://www.wikidata.org/entity/Q98679343
Brauhaus Nördlinger Straße 4 in Dinkelsbühl (D-5-71-136-347#1),Point(10.320664111 49.068273734),,http://www.wikidata.org/entity/Q98622603
Brauereikeller Nähe Rittersbacher Straße in Georgensgmünd (D-5-76-121-18#2),Point(11.014603326 49.188226335),,http://www.wikidata.org/entity/Q98626465
Brauerei Kelsstraße 38 in Neustadt an der Donau (D-2-73-152-44#1),Point(11.744475487 48.836413973),,http://www.wikidata.org/entity/Q98699045
Brauerei Regensburger Straße 26 in Straubing (D-2-63-000-161#3),Point(12.56131389 48.880911731),,http://www.wikidata.org/entity/Q98700766
Baudenkmal D-3-77-118-16 in Friedenfels im Ortsteil Friedenfels,Point(12.104101599 49.88356494),,http://www.wikidata.org/entity/Q98671936
Brauerei Rottenburger Straße 27 in Wildenberg (D-2-73-181-4#1),Point(11.904203733 48.730019886),,http://www.wikidata.org/entity/Q98699271
Brauerei Rote Straße 10 in Zirndorf (D-5-73-134-39#9),Point(10.954990521 49.442659985),,http://www.wikidata.org/entity/Q98635205
Klosterbrauerei Nähe Hauptstraße in Medlingen (D-7-73-153-2#4),Point(10.319148921 48.568860575),,http://www.wikidata.org/entity/Q98724469
Schlossbrauerei Kirchberg 1 in Jetzendorf (D-1-86-132-4#2),Point(11.418675011 48.433926886),,http://www.wikidata.org/entity/Q98746994
Klosterbrauerei Fürstenfeld 6; Fürstenfeld 6 a; Fürstenfeld 6 b in Fürstenfeldbruck (D-1-79-121-46#2),Point(11.249230944 48.169098541),,http://www.wikidata.org/entity/Q98743888
Schlossbrauerei Hofmühlstraße 10 in Eichstätt (D-1-76-123-84#1),Point(11.167669696 48.893459837),,http://www.wikidata.org/entity/Q98743221
Sudhaus St.-Oswald-Straße 4 in Traunstein (D-1-89-155-36#1),Point(12.642033597 47.86560433),,http://www.wikidata.org/entity/Q98751971
Schlossbrauerei Hofmühlstraße 10 in Eichstätt (D-1-76-123-84#2),Point(11.168225632 48.893434449),,http://www.wikidata.org/entity/Q98743220
Kronenbrauerei Söflingen,Point(9.956052777 48.395288888),,http://www.wikidata.org/entity/Q107639964
Schwertbrauerei Ehingen,Point(9.722230555 48.283569444),,http://www.wikidata.org/entity/Q108399018
Brauhaus Weinstraße 7 in Rosenheim (D-1-63-000-211#1),Point(12.128908539 47.857528886),,http://www.wikidata.org/entity/Q98741193
Schlossbrauerei Obere Hofbreiten; Schloß Igling 2; Schloß Igling 5 in Igling (D-1-81-127-19#3),Point(10.808028218 48.067309423),,http://www.wikidata.org/entity/Q98744505
Schlossbrauerei Schloßhof 2 in Traunreut (D-1-89-154-82#1),Point(12.547940911 47.987203018),,http://www.wikidata.org/entity/Q98751926
Klosterbrauerei Weilheimer Straße 1 in Polling (bei Weilheim) (D-1-90-142-11#16),Point(11.132261178 47.811513174),,http://www.wikidata.org/entity/Q98752666
Brauhaus Attel 32; Attel 34; Attel 36 in Wasserburg am Inn (D-1-87-182-226#4),Point(12.174976694 48.023640056),,http://www.wikidata.org/entity/Q98749588
Brauerei Traunerstraße 1 in Traunstein (D-1-89-155-51#1),Point(12.651910561 47.869308244),,http://www.wikidata.org/entity/Q98751986
Gasthaus und Gosebrauerei Bayerischer Bahnhof,Point(12.3814075 51.3291278),,http://www.wikidata.org/entity/Q113867179
Brauerei Stadtplatz 8a in Neumarkt-Sankt Veit (D-1-83-129-67#1),Point(12.507982462 48.359960521),,http://www.wikidata.org/entity/Q98745489
Sudhaus Adlzreiterstraße 11; Landwehrstraße 3 in Rosenheim (D-1-63-000-69#2),Point(12.129543132 47.857737292),,http://www.wikidata.org/entity/Q98740865
Brauerei Landsberger Straße 31 in München (D-1-62-000-3750#5),Point(11.543164706 48.138386278),,http://www.wikidata.org/entity/Q98739915
Schlossbrauerei Weyhern 7; Weyhern 8 in Egenhofen (D-1-79-117-16#3),Point(11.151022803 48.283490372),,http://www.wikidata.org/entity/Q98743866
Löwenbrauerei (Trier),Point(6.649444 49.749444),,http://www.wikidata.org/entity/Q113445707
Schlossbrauerei Hohenlimburg,Point(7.56965 51.34855),,http://www.wikidata.org/entity/Q111846064
Schlossbrauerei Am Stadtberg 21; Am Stadtberg 21b in Dillingen an der Donau (D-7-73-125-236#3),Point(10.49622623 48.576350409),,http://www.wikidata.org/entity/Q98724233
Brauerei Münchener Straße 1; Münchener Straße 3 in Moosburg an der Isar (D-1-78-143-65#1),Point(11.934889395 48.466505853),,http://www.wikidata.org/entity/Q98743509
Hofbrauhaus Bräuhausstraße 17 in Berchtesgaden (D-1-72-116-295#2),Point(13.00746568 47.634815999),,http://www.wikidata.org/entity/Q98742011
Brauhaus Herrenchiemsee 3 in Chiemsee (Gemeinde) (D-1-87-123-19#1),Point(12.395902096 47.867206692),,http://www.wikidata.org/entity/Q98749035
Sudhaus Simpert-Kraemer-Straße 15 in Neuburg an der Kammel (D-7-74-162-18#1),Point(10.394689208 48.297805155),,http://www.wikidata.org/entity/Q98724865
Hofbrauhaus Mainburger Straße 26 in Freising (D-1-78-124-127#2),Point(11.747121912 48.405731842),,http://www.wikidata.org/entity/Q98743679
Baudenkmal D-4-76-146-69 in Küps,Point(11.279718864 50.21519552),,http://www.wikidata.org/entity/Q106539516
Brauereikeller Seiding 56 in Weyarn (D-1-82-137-115#1),Point(11.807277465 47.858488167),,http://www.wikidata.org/entity/Q98745222
Brauhaus Raitenhaslach 9 in Burghausen (D-1-71-112-333#3),Point(12.786350565 48.127728547),,http://www.wikidata.org/entity/Q98741421
Bierbrauerei Adolf-Kolping-Straße 5 in Ingolstadt (D-5-6626-0058#2),Point(11.423930089 48.767059374),,http://www.wikidata.org/entity/Q98738956
Mosbacher Brauhaus,Point(9.141519751 49.351298009),,http://www.wikidata.org/entity/Q112111482
Sudhaus Schloßbräugasse 2 in Au in der Hallertau (D-1-78-116-16#4),Point(11.74171564 48.558436364),,http://www.wikidata.org/entity/Q98743653
Hansa-Brauerei,Point(11.857888888 52.611888888),,http://www.wikidata.org/entity/Q110866870
Museumsbrauerei Goldkronach,Point(11.685944 50.009944),,http://www.wikidata.org/entity/Q111834667
Brauhaus Neuburger Straße 3 in Hohenwart (D-1-86-128-30#1),Point(11.382770248 48.593922608),,http://www.wikidata.org/entity/Q98746934
Schlossbrauerei Schloßhof 7 in Traunreut (D-1-89-154-82#2),Point(12.547738978 47.987727492),,http://www.wikidata.org/entity/Q98751924
Brauerei St.-Oswald-Straße 4 in Traunstein (D-1-89-155-36#2),Point(12.642601092 47.865789958),,http://www.wikidata.org/entity/Q98751974
Brauhaus Neuhofstraße D 228 in Neuburg an der Donau (D-1-85-149-165#3),Point(11.185756073 48.734119266),,http://www.wikidata.org/entity/Q98746388
Brauhaus Hartmannsdorf,Point(12.803027777 50.88675),,http://www.wikidata.org/entity/Q106874924
Brauerei Bräuhausplatz 3 in Haag in Oberbayern (D-1-83-119-2#1),Point(12.181147127 48.16152705),,http://www.wikidata.org/entity/Q98745304
Brauerei Sehensander Weg 4 in Neuburg an der Donau (D-1-85-149-186#2),Point(11.175976702 48.728967679),,http://www.wikidata.org/entity/Q98746402
Sudhaus Salzburger Straße 10 in Petting (Gemeinde) (D-1-89-135-50#1),Point(12.848729201 47.885476975),,http://www.wikidata.org/entity/Q98751494
Klosterbrauerei Landshuter Straße 31 in Freising (D-1-78-124-117#4),Point(11.75718479 48.406583229),,http://www.wikidata.org/entity/Q98743675
Bottroper Bier,Point(6.90024 51.52021),,http://www.wikidata.org/entity/Q109215190
Sudhaus Poststraße 1 in Teisendorf (D-1-72-134-26#1),Point(12.823376735 47.848553853),,http://www.wikidata.org/entity/Q98742204
Freyberg Brauerei,Point(11.960823 51.475008),,http://www.wikidata.org/entity/Q111217635
Zum Ochsen,Point(9.5512689 49.400204),,http://www.wikidata.org/entity/Q108096901
Brauerei Alte Bergstraße 488 in Landsberg am Lech (D-1-81-130-47#1),Point(10.879143068 48.048478993),,http://www.wikidata.org/entity/Q98744731
Bierbrauerei Adolf-Kolping-Straße 3 in Ingolstadt (D-1-61-000-616#1),Point(11.423584692 48.767053244),,http://www.wikidata.org/entity/Q98733155
Brauhaus Marktplatz 19 in Kipfenberg (D-1-76-138-33#1),Point(11.395515288 48.949636778),,http://www.wikidata.org/entity/Q98743300
Meinels Bas,Point(11.9183879 50.324971),,http://www.wikidata.org/entity/Q116036049
Brauerei Landsberger Straße 31 in München (D-1-62-000-3750#3),Point(11.543339554 48.138758561),,http://www.wikidata.org/entity/Q98739913
Sudhaus Am Esbaum 5 in Rosenheim (D-1-63-000-264#3),Point(12.124047178 47.854877513),,http://www.wikidata.org/entity/Q98741207
Hofbrauhaus Bräuhausstraße 13 in Berchtesgaden (D-1-72-116-295#1),Point(13.00667266 47.634270795),,http://www.wikidata.org/entity/Q98742010
